teryt;f_address
141702;141702 Otwock Żurawia 43
141702;141702 Otwock Żeromskiego 5
141702;141702 Otwock Żeromskiego 7
141901;141901 Bielsk Bielsk 47n
141905;141905 Drobin Marszałka Piłsudskiego 1
141906;141906 Gąbin Tylna 5
141910;141910 Radzanowo Płocka 8a
141910;141910 Radzanowo Płocka 8b
141910;141910 Rogozino Płocka 10c
141910;141910 Rogozino Mazowiecka 100a
141912;141912 Słupno Zielona 15
142008;142008 Nowe Miasto Waryńskiego 41d
142010;142010 Zdunówek Zdunówek 55b
142010;142010 Kodłutowo Kodłutowo 39d
142102;142102 Pruszków Aleja Wojska Polskiego 3b
142206;142206 Romany-Sebory Romany-Sebory 12a
142207;142207 Góry Karwackie Góry Karwackie 7a
142301;142301 Zdonków Zdonków 35
142301;142301 Zdonków Zdonków 35a
142301;142301 Zdonków Zdonków 36
142301;142301 Zdonków Zdonków 37a
142303;142303 Klwów Radomska 13a
142306;142306 Przysucha Przemysłowa 1b
142306;142306 Skrzyńsko Kolejowa 67
142306;142306 Skrzyńsko Kolejowa 83
142306;142306 Lipno Wjazdowa 82
142306;142306 Lipno Wjazdowa 86
142306;142306 Lipno Wjazdowa 86a
142306;142306 Smogorzów Główna 42a
142306;142306 Smogorzów Główna 57
142306;142306 Smogorzów Główna 96
142306;142306 Smogorzów Główna 98
142306;142306 Smogorzów Główna 106a
142306;142306 Smogorzów Główna 117
142306;142306 Smogorzów Główna 125
142306;142306 Smogorzów Ogrodowa 138
142306;142306 Skrzyńsko Przemysłowa 16
142306;142306 Skrzyńsko Przemysłowa 150
142404;142404 Pułtusk 13 Pułku Piechoty 21
142404;142404 Pułtusk Aleja Tysiąclecia 6a
142404;142404 Pułtusk Aleja Tysiąclecia 21b
142503;142503 Gajówka Maziarze Gajówka Maziarze 1
142503;142503 Michałów Michałów 27
142510;142510 Skaryszew Makowska 111
142613;142613 Zbuczyn Gliniana 10
142613;142613 Zbuczyn Gliniana 11a
142613;142613 Zbuczyn Gliniana 19
142613;142613 Zbuczyn Gliniana 30
142613;142613 Zbuczyn Leśna 44
142613;142613 Zbuczyn Leśna 47a
142613;142613 Zbuczyn Leśna 47b
142613;142613 Zbuczyn Poręby 60
142702;142702 Gozdowo Płocka 10a
142702;142702 Lelice Szkolna 3a
142705;142705 Kępa Kępa 28b
142705;142705 Borkowo Kościelne Borkowo Kościelne 108
142801;142801 Sochaczew Aleja 600-lecia 8a
142901;142901 Sokołów Podlaski Żołnierzy Niezłomnych 55
142901;142901 Sokołów Podlaski Świtalskiego 18g
142905;142905 Kosów Lacki Parkowa 22a
142907;142907 Sabnie Leśna 5b
142907;142907 Sabnie Leśna 7a
142909;142909 Sterdyń Seroczyńska 29a
142909;142909 Sterdyń Kościuszki 6b
143004;143004 Orońsko Górna 30e
143005;143005 Szydłowiec Kościuszki 37a
143005;143005 Szydłowiec Kościuszki 55c
143005;143005 Szydłowiec Kościuszki 74a
143005;143005 Szydłowiec Kościuszki 127a
143005;143005 Szydłowiec Kościuszki 127d
143005;143005 Szydłowiec Piękna 3g
143005;143005 Szydłowiec Piękna 3h
143005;143005 Szydłowiec Piękna 3i
143005;143005 Szydłowiec Piękna 43a
143005;143005 Szydłowiec Kolejowa 2n
143005;143005 Szydłowiec Kolejowa 14c
143005;143005 Szydłowiec Księżnej Anny Sapieżyny 250c
143005;143005 Szydłowiec Narutowicza 3b
143306;143306 Miedzna Ogrodowa 12a
143404;143404 Zielonka Marecka 16a
143404;143404 Zielonka Wrzosowa 3d
143404;143404 Zielonka Syreny 14
143404;143404 Zielonka Dolna 18a
143409;143409 Radzymin 11 Listopada 25
143411;143411 Tłuszcz Racławicka 88
143411;143411 Tłuszcz Zaściankowa 47a
143503;143503 Rząśnik Rząśnik 66a
143503;143503 Rząśnik Rząśnik 94a
143505;143505 Lucynów Kochanowskiego 86a
143506;143506 Mostówka Wrzosowa 16
143605;143605 Zwoleń Doktora Perzyny 119
143605;143605 Zwoleń Doktora Perzyny 121
143605;143605 Zwoleń Doktora Perzyny 298b
143605;143605 Zwoleń Północna 72
143705;143705 Siemiątkowo-Kosmy Siemiątkowo- 2
143705;143705 Siemiątkowo-Kosmy Siemiątkowo- 16
143705;143705 Siemiątkowo-Kosmy Siemiątkowo- 17
143705;143705 Siemiątkowo-Kosmy Siemiątkowo- 20
143705;143705 Siemiątkowo-Kosmy Siemiątkowo- 22
143706;143706 Będzymin Kręta 16
200101;200101 Augustów Dąbek 9
200206;200206 Łapy Asnyka 1e
200206;200206 Łapy Plac Niepodległości 10a
200606;200606 Potasie Potasie 7
200705;200705 Jeziorko Makowa 54
201202;201202 Filipów 1 Maja 54
201207;201207 Huta Huta 48
280201;280201 Braniewo Moniuszki 4
280501;280501 Ełk Przemysłowa 8
280501;280501 Ełk Kochanowskiego 1a
280501;280501 Ełk Kochanowskiego 2a
280604;280604 Bogaczewo Bogaczewo 51
280604;280604 Wilkasy Klonowa 1
280610;280610 Wydminy Kolejowa 17
280610;280610 Wydminy Nowowiejskiego 11
280610;280610 Wydminy Grunwaldzka 79
280610;280610 Wydminy Dworcowa 43f
280610;280610 Wydminy Dworcowa 43g
280610;280610 Wydminy Dworcowa 43h
280705;280705 Biała Góra Biała Góra 103b
281003;281003 Wólka Baranowska Wólka Baranowska 7a
281002;281002 Mikołajki Szkolna 19a
281005;281005 Gizewo Gizewo 34a
281005;281005 Gizewo Gizewo 34b
281409;281409 Olsztynek Gdańska 15
281409;281409 Olsztynek Gdańska 17
281411;281411 Bartąg Bartąg 84
281505;281505 Małdyty Małdyty 40e
281505;281505 Małdyty Małdyty 45f
281505;281505 Małdyty Małdyty 46p
281505;281505 Małdyty Małdyty 47n
281505;281505 Małdyty Małdyty 47p
281508;281508 Bogaczewo Bogaczewo 14ap
281508;281508 Morąg Generała Dąbrowskiego 37
281603;281603 Pisz Kmicica 109
281603;281603 Babrosty Babrosty 64
281704;281704 Elganowo Elganowo 4a
281706;281706 Szczycionek Szczycionek 49
040102;040102 Ciechocinek Wołuszewska 15a
040102;040102 Ciechocinek Stawowa 30a
040102;040102 Ciechocinek Stawowa 74b
040104;040104 Ośno Ośno 1a
040104;040104 Ośno Ośno 7
040104;040104 Łazieniec Sportowa 27
040104;040104 Konradowo Konradowo 19
040104;040104 Konradowo Konradowo 27c
040105;040105 Bądkowo Włocławska 10a
040105;040105 Bądkowo Włocławska 16a
040107;040107 Raciążek Podgórna 39c
040107;040107 Raciążek Podgórna 39h
040107;040107 Raciążek Podgórna 41s
040107;040107 Raciążek Wysoka 15a
040109;040109 Zakrzewo Zielona 30
040109;040109 Zakrzewo Graniczna 36
040109;040109 Zakrzewo Cicha 9a
040109;040109 Zakrzewo Cicha 9b
040201;040201 Brodnica Sądowa 15b
040201;040201 Brodnica Generała Sikorskiego 51d
040202;040202 Kawki Kawki 12a
040207;040207 Gorzechówko Gorzechówko 22
040207;040207 Gorzechówko Gorzechówko 23
040207;040207 Gorzechówko Gorzechówko 24
040209;040209 Świedziebnia Świedziebnia 43c
040209;040209 Księte Księte 112a
040301;040301 Łochowo Szosa Nakielska 33
040304;040304 Koronowo Witosa 8b
040305;040305 Nowa Wieś Wielka Bydgoska 67
040305;040305 Prądocin Bydgoska 26a
040305;040305 Brzoza Bydgoska 1a
040305;040305 Nowa Wioska Nowa Wioska 75
040305;040305 Kobylarnia Słoneczna 14a
040305;040305 Kobylarnia Słoneczna 15h
040305;040305 Kobylarnia Słoneczna 17c
040305;040305 Kobylarnia Słoneczna 25k
040305;040305 Kobylarnia Zachodnia 6b
040305;040305 Tarkowo Dolne Słoneczna 2c
040306;040306 Żołędowo Słoneczna 18
040308;040308 Solec Kujawski Wiejska 15j
040404;040404 Lisewo Kolejowa 20b
040502;040502 Piotrkowo Piotrkowo 33
040502;040502 Ciechocin Ciechocin 62
040503;040503 Podzamek Golubski Podzamek Golubski 16
040503;040503 Podzamek Golubski Podzamek Golubski 17
040503;040503 Podzamek Golubski Podzamek Golubski 19
040503;040503 Podzamek Golubski Podzamek Golubski 57
040504;040504 Kowalewo Pomorskie Św. Mikołaja 10
040504;040504 Wielka Łąka Wielka Łąka 66m
040601;040601 Biały Bór Biały Bór 10d
040601;040601 Turznice Turznice 4b
040701;040701 Inowrocław Kolejowa 59a
040701;040701 Inowrocław Mątewska 75a
040703;040703 Dąblin Dąblin 21
040703;040703 Dąblin Dąblin 22
040703;040703 Wielowieś Wielowieś 20a
040703;040703 Gniewkowo Słoneczna 64
040705;040705 Broniewice Broniewice 12j
040705;040705 Janikowo Topolowa 1
040705;040705 Janikowo Topolowa 11b
040705;040705 Janikowo Polna 2p
040807;040807 Rumunki Skępskie Rumunki Skępskie 3
040903;040903 Mogilno Padniewska 30b
041302;041302 Sępólno Krajeńskie Kochanowskiego 60a
041304;041304 Śmiłowo Śmiłowo 11a
041401;041401 Bramka Bramka 34
041404;041404 Laskowice Laskowice 1a
041404;041404 Laskowice Laskowice 2
041404;041404 Laskowice Laskowice 3b
041404;041404 Laskowice Laskowice 43
041404;041404 Laskowice Laskowice 45
041404;041404 Laskowice Sas-Jaworskiego 12
041404;041404 Buczek Buczek 5
041409;041409 Świecie Księdza Kardynała Wyszyńskiego 14
041409;041409 Świecie Księdza Kardynała Wyszyńskiego 63
041411;041411 Warlubie Domy Kolejowe 1
041503;041503 Steklinek Steklinek 79
041601;041601 Cekcyn Cekcyn 63
041603;041603 Kęsowo Kęsowo 7
041604;041604 Lubiewo Wojska Polskiego 38a
041604;041604 Lubiewo Lubiewo 66a
041604;041604 Lubiewo Lubiewo 112a
041604;041604 Bysław Bysław 31b
041605;041605 Zazdrość Zazdrość 27
041605;041605 Brzeźno Brzeźno 16a
041605;041605 Brzeźno Brzeźno 48b
041605;041605 Lińsk Lińsk 15c
041605;041605 Lińsk Lińsk 15e
041605;041605 Lińsk Lińsk 25w
041605;041605 Lińsk Lińsk 74a
041605;041605 Brzozowe Błota Brzozowe Błota 44a
041705;041705 Wałycz Jęczmienna 51
